2019
iter:08200,transfer:2.17037,classifier:0.24962,heuristic:0.22801,relate:1.53755,gaussian:8.47757
iter:08300,transfer:2.19984,classifier:0.14293,heuristic:0.22314,relate:1.54445,gaussian:8.70608
iter:08400,transfer:2.05570,classifier:0.08863,heuristic:0.22271,relate:1.52846,gaussian:7.30994
iter:08500,transfer:2.08174,classifier:0.01553,heuristic:0.22201,relate:1.53096,gaussian:8.08284
iter:08600,transfer:2.11340,classifier:0.45783,heuristic:0.21430,relate:1.52960,gaussian:8.40511
iter:08700,transfer:2.09122,classifier:0.42763,heuristic:0.22188,relate:1.52248,gaussian:7.77366
iter:08800,transfer:2.09920,classifier:0.20442,heuristic:0.21902,relate:1.48975,gaussian:6.74925
iter:08900,transfer:2.22788,classifier:0.13722,heuristic:0.21941,relate:1.52016,gaussian:8.26257
iter: 08999, precision: 0.73446
iter:09000,transfer:2.17584,classifier:0.16571,heuristic:0.21055,relate:1.52372,gaussian:7.87668
iter:09100,transfer:2.15088,classifier:0.14018,heuristic:0.21053,relate:1.49543,gaussian:7.70335
iter:09200,transfer:2.07885,classifier:0.16335,heuristic:0.20944,relate:1.51854,gaussian:8.41397
iter:09300,transfer:2.22792,classifier:0.31680,heuristic:0.20483,relate:1.51315,gaussian:7.40921
iter:09400,transfer:2.15159,classifier:0.08888,heuristic:0.20574,relate:1.50009,gaussian:7.95204
iter:09500,transfer:2.07983,classifier:0.07341,heuristic:0.20952,relate:1.50300,gaussian:7.97165
iter:09600,transfer:2.15302,classifier:0.16311,heuristic:0.20660,relate:1.49667,gaussian:7.23372
iter:09700,transfer:2.05208,classifier:0.21398,heuristic:0.20494,relate:1.50274,gaussian:7.94831
iter:09800,transfer:2.22134,classifier:0.10608,heuristic:0.20474,relate:1.51059,gaussian:7.02357
iter:09900,transfer:2.09936,classifier:0.04071,heuristic:0.19864,relate:1.49702,gaussian:7.31656
iter: 09999, precision: 0.73255
iter:10000,transfer:2.11452,classifier:0.10493,heuristic:0.20715,relate:1.52069,gaussian:7.52035
iter:10100,transfer:2.23848,classifier:0.00511,heuristic:0.20183,relate:1.50710,gaussian:8.50258
iter:10200,transfer:2.15483,classifier:0.04533,heuristic:0.20178,relate:1.48326,gaussian:6.69644
iter:10300,transfer:2.11746,classifier:0.05975,heuristic:0.19585,relate:1.49010,gaussian:7.70817
iter:10400,transfer:2.11335,classifier:0.03438,heuristic:0.19897,relate:1.49673,gaussian:7.18006
iter:10500,transfer:2.17952,classifier:0.05355,heuristic:0.19698,relate:1.48949,gaussian:7.69958
iter:10600,transfer:2.06410,classifier:0.10775,heuristic:0.20086,relate:1.48224,gaussian:7.42052
iter:10700,transfer:2.03533,classifier:0.53352,heuristic:0.19695,relate:1.49178,gaussian:7.51838
iter:10800,transfer:2.08731,classifier:0.12659,heuristic:0.19341,relate:1.48751,gaussian:6.41631
iter:10900,transfer:2.11106,classifier:0.06393,heuristic:0.19101,relate:1.48390,gaussian:7.10309
iter: 10999, precision: 0.73506
